Total Records: 2000
E,n,d,P,O,I,N,T,:, ,h,t,t,p,s,:,/,/,a,u,s,t,r,a,l,i,a,s,o,u,t,h,e,a,s,t,.,s,n,o,w,s,o,f,t,w,a,r,e,.,i,o,/,a,p,i,/,s,a,m,/,v,1,/,o,r,a,c,l,e,/,d,a,t,a,b,a,s,e,/,i,n,s,t,a,l,l,a,t,i,o,n,s
_links,databaseName,id,isDataGuard,isRac,productId,productVersion,scanDate
"[{'href': '/api/sam/v1/oracle/database/installations/e37156b5-2fe6-41f1-936f-4358d05ee1a4', 'method': 'GET', 'rel': 'details'}, {'href': '/api/sam/v1/oracle/products/182c25ba-e82d-4a10-9246-3eb3d3a8b840', 'method': 'GET', 'rel': 'product'}]",AMBDS525,e37156b5-2fe6-41f1-936f-4358d05ee1a4,False,False,182c25ba-e82d-4a10-9246-3eb3d3a8b840,11.2.0.4.0,2026-06-05T21:52:24Z
"[{'href': '/api/sam/v1/oracle/database/installations/87539c18-3569-40ae-82b8-63d7aa075a46', 'method': 'GET', 'rel': 'details'}, {'href': '/api/sam/v1/oracle/products/182c25ba-e82d-4a10-9246-3eb3d3a8b840', 'method': 'GET', 'rel': 'product'}]",AMBDS531,87539c18-3569-40ae-82b8-63d7aa075a46,False,False,182c25ba-e82d-4a10-9246-3eb3d3a8b840,11.2.0.4.0,2026-06-02T21:14:29Z
"[{'href': '/api/sam/v1/oracle/database/installations/92e60873-c0cf-4f52-babe-5ebf442f7b8b', 'method': 'GET', 'rel': 'details'}, {'href': '/api/sam/v1/oracle/products/182c25ba-e82d-4a10-9246-3eb3d3a8b840', 'method': 'GET', 'rel': 'product'}]",AMBDS544,92e60873-c0cf-4f52-babe-5ebf442f7b8b,False,False,182c25ba-e82d-4a10-9246-3eb3d3a8b840,11.2.0.4.0,2026-06-05T21:13:25Z
"[{'href': '/api/sam/v1/oracle/database/installations/c7f76d33-3201-470a-bd65-e1e7213447fe', 'method': 'GET', 'rel': 'details'}, {'href': '/api/sam/v1/oracle/products/182c25ba-e82d-4a10-9246-3eb3d3a8b840', 'method': 'GET', 'rel': 'product'}]",AMBDS545,c7f76d33-3201-470a-bd65-e1e7213447fe,False,False,182c25ba-e82d-4a10-9246-3eb3d3a8b840,11.2.0.4.0,2026-06-06T21:14:42Z
"[{'href': '/api/sam/v1/oracle/database/installations/4fe1edfc-a5bd-4a89-84de-1b496baca9c3', 'method': 'GET', 'rel': 'details'}, {'href': '/api/sam/v1/oracle/products/182c25ba-e82d-4a10-9246-3eb3d3a8b840', 'method': 'GET', 'rel': 'product'}]",AMBDS546,4fe1edfc-a5bd-4a89-84de-1b496baca9c3,False,False,182c25ba-e82d-4a10-9246-3eb3d3a8b840,11.2.0.4.0,2026-06-02T21:33:25Z
"[{'href': '/api/sam/v1/oracle/database/installations/566aa12b-223f-484e-bb84-71fbd6ceb32e', 'method': 'GET', 'rel': 'details'}, {'href': '/api/sam/v1/oracle/products/182c25ba-e82d-4a10-9246-3eb3d3a8b840', 'method': 'GET', 'rel': 'product'}]",AMBDS550,566aa12b-223f-484e-bb84-71fbd6ceb32e,False,False,182c25ba-e82d-4a10-9246-3eb3d3a8b840,11.2.0.4.0,2026-06-06T21:59:24Z
"[{'href': '/api/sam/v1/oracle/database/installations/b0f46b8d-774c-4548-a05f-a7112781c404', 'method': 'GET', 'rel': 'details'}, {'href': '/api/sam/v1/oracle/products/182c25ba-e82d-4a10-9246-3eb3d3a8b840', 'method': 'GET', 'rel': 'product'}]",AMBDS551,b0f46b8d-774c-4548-a05f-a7112781c404,False,False,182c25ba-e82d-4a10-9246-3eb3d3a8b840,11.2.0.4.0,2026-06-05T21:34:24Z
"[{'href': '/api/sam/v1/oracle/database/installations/b9e545fe-9e37-49fc-8a6c-d5b8127d4def', 'method': 'GET', 'rel': 'details'}, {'href': '/api/sam/v1/oracle/products/182c25ba-e82d-4a10-9246-3eb3d3a8b840', 'method': 'GET', 'rel': 'product'}]",AMBDS552,b9e545fe-9e37-49fc-8a6c-d5b8127d4def,False,False,182c25ba-e82d-4a10-9246-3eb3d3a8b840,11.2.0.4.0,2026-06-07T21:15:24Z
"[{'href': '/api/sam/v1/oracle/database/installations/eb7d3752-1d98-4cdd-ac77-cac92cf8dd47', 'method': 'GET', 'rel': 'details'}, {'href': '/api/sam/v1/oracle/products/182c25ba-e82d-4a10-9246-3eb3d3a8b840', 'method': 'GET', 'rel': 'product'}]",AMBDS553,eb7d3752-1d98-4cdd-ac77-cac92cf8dd47,False,False,182c25ba-e82d-4a10-9246-3eb3d3a8b840,11.2.0.4.0,2026-06-06T21:32:24Z
"[{'href': '/api/sam/v1/oracle/database/installations/db1af58b-76a5-4cde-9db1-4f767dc02c93', 'method': 'GET', 'rel': 'details'}, {'href': '/api/sam/v1/oracle/products/182c25ba-e82d-4a10-9246-3eb3d3a8b840', 'method': 'GET', 'rel': 'product'}]",AMBDS554,db1af58b-76a5-4cde-9db1-4f767dc02c93,False,False,182c25ba-e82d-4a10-9246-3eb3d3a8b840,11.2.0.4.0,2026-06-05T21:19:24Z
