computer_id,computer_name,application_id,application_name,license_id,license_name,agreement_id,agreement_name
a9fea928-905a-4109-bb69-95318d926f32,06DATEV,ff362d54-86c4-4f64-a004-ae7140a61cca,,,,,
a9fea928-905a-4109-bb69-95318d926f32,06DATEV,11956ea6-2b89-45fe-9935-b00daa114d51,,,,,
a9fea928-905a-4109-bb69-95318d926f32,06DATEV,19bf13fa-c9fe-4e75-9923-b4c68c3a8ac1,,,,,
a9fea928-905a-4109-bb69-95318d926f32,06DATEV,23095583-2316-4fed-be63-b67dddf21217,,,,,
a9fea928-905a-4109-bb69-95318d926f32,06DATEV,dd310d08-76d9-41b0-809e-b8a51c0bba7b,,,,,
a9fea928-905a-4109-bb69-95318d926f32,06DATEV,f812d97f-28be-4080-8312-bb81c6ed7548,,,,,
a9fea928-905a-4109-bb69-95318d926f32,06DATEV,43b82636-736f-44b6-a933-bcde30e6097d,,,,,
a9fea928-905a-4109-bb69-95318d926f32,06DATEV,d728f5c3-868e-4d4a-8236-c36a2b896b59,,,,,
a9fea928-905a-4109-bb69-95318d926f32,06DATEV,d58276a1-dfee-494b-83dd-c5178c3c6b58,,,,,
a9fea928-905a-4109-bb69-95318d926f32,06DATEV,d852c5ac-bdaa-4d67-9ee1-cb9db7b5e30f,,,,,
a9fea928-905a-4109-bb69-95318d926f32,06DATEV,cb8b50eb-2c14-4773-a389-cc7dd757365b,,,,,
a9fea928-905a-4109-bb69-95318d926f32,06DATEV,f52a57e7-2f8d-4429-a95e-cd7507895cf7,,,,,
a9fea928-905a-4109-bb69-95318d926f32,06DATEV,82bc7621-5977-4dc5-b206-d2761878ba77,,,,,
a9fea928-905a-4109-bb69-95318d926f32,06DATEV,37fce499-fd26-49d5-ad0c-d2fa122f994d,,,,,
a9fea928-905a-4109-bb69-95318d926f32,06DATEV,ddc2b6da-d54f-4c24-9af1-d54984d8b111,,,,,
a9fea928-905a-4109-bb69-95318d926f32,06DATEV,b707bb77-8521-474e-b283-d558d126a96d,,,,,
a9fea928-905a-4109-bb69-95318d926f32,06DATEV,35e65a95-a07b-4642-9b5a-dc035d4d2340,,,,,
a9fea928-905a-4109-bb69-95318d926f32,06DATEV,74972a5c-ae4e-47f3-8fd6-e588c8af2825,,,,,
a9fea928-905a-4109-bb69-95318d926f32,06DATEV,d3c0da7b-0222-47d5-8a07-e58fbb4606be,,,,,
a9fea928-905a-4109-bb69-95318d926f32,06DATEV,d92ba8fd-4352-4f2f-883d-e7e49b8b7339,,,,,
a9fea928-905a-4109-bb69-95318d926f32,06DATEV,3a6fd693-2328-480a-a7ba-eb2ce1fbf2ca,,,,,
a9fea928-905a-4109-bb69-95318d926f32,06DATEV,5172963b-d419-4316-ab52-eed6f3853fe3,,,,,
a9fea928-905a-4109-bb69-95318d926f32,06DATEV,b2207121-3977-480f-b29b-f246b66d40db,,,,,
a9fea928-905a-4109-bb69-95318d926f32,06DATEV,6e90f844-aae6-472f-8ef0-f2cff8920f2b,,,,,
a9fea928-905a-4109-bb69-95318d926f32,06DATEV,b1c49da9-c056-48b1-b7d8-f6f0a69cf70f,,,,,
a9fea928-905a-4109-bb69-95318d926f32,06DATEV,b370ba82-4a0f-4804-956b-f87e3b52861e,,,,,
a9fea928-905a-4109-bb69-95318d926f32,06DATEV,b69819b4-f064-47f6-b466-fb22f0a0c12d,,,,,
a9fea928-905a-4109-bb69-95318d926f32,06DATEV,5ccadf9c-7da3-4c0b-8b37-fedaece7a64a,,,,,
1ade55b5-4adf-49a1-99b8-87e7199be90d,09PB-Build,67e3d539-4b57-4df5-b732-01988d8dc1cd,,,,,
1ade55b5-4adf-49a1-99b8-87e7199be90d,09PB-Build,d74971e7-34cf-4e77-b1e3-02be4d5a78e1,,,,,
